Date,Price,Open,High,Low,Vol.,Change %
10/5/2022,0.064781,0.065842,0.066697,0.062792,1.73B,-1.58%
10/6/2022,0.063453,0.064781,0.066794,0.063019,1.06B,-2.05%
10/7/2022,0.062378,0.063445,0.063816,0.061377,801.92M,-1.69%
10/8/2022,0.061642,0.062365,0.062656,0.061215,360.93M,-1.18%
10/9/2022,0.062125,0.061642,0.062378,0.061189,343.06M,0.78%
10/10/2022,0.059376,0.062125,0.062505,0.059367,645.77M,-4.42%
10/11/2022,0.060249,0.059381,0.060844,0.057564,741.52M,1.47%
10/12/2022,0.05981,0.060246,0.060988,0.059333,395.67M,-0.73%
10/13/2022,0.05965,0.05981,0.06023,0.055189,1.14B,-0.27%
10/14/2022,0.058663,0.05965,0.061004,0.058204,516.32M,-1.66%
10/15/2022,0.058568,0.058663,0.059734,0.058003,366.71M,-0.16%
10/16/2022,0.05889,0.058564,0.059435,0.05849,246.76M,0.55%
10/17/2022,0.059943,0.0589,0.060165,0.058557,304.53M,1.79%
10/18/2022,0.059754,0.059943,0.061015,0.058557,539.99M,-0.31%
10/19/2022,0.058691,0.059754,0.060757,0.058356,729.82M,-1.78%
10/20/2022,0.059439,0.058691,0.060315,0.058283,693.89M,1.27%
10/21/2022,0.059317,0.059434,0.059493,0.057233,473.97M,-0.20%
10/22/2022,0.059691,0.059318,0.059892,0.059109,310.03M,0.63%
10/23/2022,0.06037,0.059691,0.060444,0.058837,380.52M,1.14%
10/24/2022,0.059447,0.06037,0.060889,0.0587,507.06M,-1.53%
10/25/2022,0.062951,0.059452,0.06417,0.059148,1.49B,5.89%
10/26/2022,0.072806,0.062945,0.073536,0.062625,3.81B,15.66%
10/27/2022,0.076844,0.072803,0.085412,0.071784,7.01B,5.55%
10/28/2022,0.083754,0.076846,0.0883,0.072656,8.12B,8.99%
10/29/2022,0.121873,0.083749,0.150228,0.083042,19.47B,45.51%
10/30/2022,0.117611,0.121878,0.143027,0.112175,11.68B,-3.50%
10/31/2022,0.126858,0.117636,0.130866,0.114439,9.63B,7.86%
11/1/2022,0.142243,0.126834,0.158237,0.12488,12.96B,12.13%
11/2/2022,0.127765,0.142183,0.147603,0.122578,8.86B,-10.18%
11/3/2022,0.122354,0.127706,0.136887,0.120139,5.36B,-4.24%
11/4/2022,0.126109,0.122372,0.129056,0.115611,6.32B,3.07%
